image_name,vuln_id,severity,count,related_vuln,r_count
jenkins:2.60.3,GHSA-wfj3-535m-p6fx,High,1,CVE-2017-1000391,0
jenkins:2.60.3,GHSA-vcr8-h8qp-qj8h,High,1,CVE-2019-10384,0
jenkins:2.60.3,GHSA-qv6f-rcv6-6q3x,High,1,CVE-2021-21604,0
jenkins:2.60.3,GHSA-qp4f-2w67-c8hw,High,1,CVE-2020-2099,0
jenkins:2.60.3,GHSA-qgj4-rc8m-44mq,High,1,CVE-2020-2220,0
jenkins:2.60.3,GHSA-qf38-f2fr-q4x9,High,1,CVE-2018-1999002,0
jenkins:2.60.3,GHSA-pxgq-gqr9-5gwx,High,1,CVE-2021-21605,0
jenkins:2.60.3,GHSA-j8qv-mj4r-6fw4,High,1,CVE-2018-1999001,0
jenkins:2.60.3,GHSA-j664-qhh4-hpf8,High,1,CVE-2023-27898,0
jenkins:2.60.3,GHSA-j472-mcq2-95p6,High,1,CVE-2017-1000393,0
jenkins:2.60.3,GHSA-hvmc-7g2x-r3p9,High,1,CVE-2020-2229,0
jenkins:2.60.3,GHSA-hf9h-vv4m-2f33,High,1,CVE-2023-27899,0
jenkins:2.60.3,GHSA-hcxf-rq72-h4rr,High,1,CVE-2019-10353,0
jenkins:2.60.3,GHSA-h76p-mc68-jv3p,High,1,CVE-2023-27901,0
jenkins:2.60.3,GHSA-gfhj-524q-gcrm,High,1,CVE-2020-2223,0
jenkins:2.60.3,GHSA-g4j6-m3m3-crw8,High,1,CVE-2020-2221,0
jenkins:2.60.3,GHSA-f7f6-xrwc-9c57,High,1,CVE-2017-1000394,0
jenkins:2.60.3,GHSA-c735-g9f2-2mvp,High,1,CVE-2020-2160,0
jenkins:2.60.3,GHSA-c5r9-rx53-q3gf,High,1,CVE-2021-21696,0
jenkins:2.60.3,GHSA-9g4m-ffx6-c29g,High,1,CVE-2020-2230,0
jenkins:2.60.3,GHSA-98fp-r22g-wpj7,High,1,CVE-2023-35141,0
jenkins:2.60.3,GHSA-8qxp-g8jv-p37x,High,1,CVE-2019-1003004,0
jenkins:2.60.3,GHSA-864v-5q2g-fr64,High,1,CVE-2020-2222,0
jenkins:2.60.3,GHSA-7f84-p6r5-jr6q,High,1,CVE-2022-34171,0
jenkins:2.60.3,GHSA-742j-jcfr-23w3,High,1,CVE-2019-1003049,0
jenkins:2.60.3,GHSA-6rh5-23hx-j452,High,1,CVE-2019-1003003,0
jenkins:2.60.3,GHSA-69vw-3pcm-84rw,High,1,CVE-2023-39151,0
jenkins:2.60.3,GHSA-5j46-5hwq-gwh7,High,1,CVE-2023-43495,0
jenkins:2.60.3,GHSA-55wp-3pq4-w8p9,High,1,CVE-2023-43496,0
jenkins:2.60.3,GHSA-53jp-gmwc-jwf6,High,1,CVE-2018-1000410,0
jenkins:2.60.3,GHSA-4wr9-2xc6-jmg5,High,1,CVE-2021-21671,0
jenkins:2.60.3,GHSA-4jhm-5f7g-75fp,High,1,CVE-2018-1000863,0
jenkins:2.60.3,GHSA-2632-h32j-6rg9,High,1,CVE-2018-1999043,0
jenkins:2.60.3,GHSA-x6jw-2f23-mc5j,Medium,1,CVE-2018-1000068,0
jenkins:2.60.3,GHSA-x3rc-cxv7-6xp6,Medium,1,CVE-2017-17383,0
jenkins:2.60.3,GHSA-wv63-gwr9-5c55,Medium,1,CVE-2021-21608,0
jenkins:2.60.3,GHSA-wqv4-9gr3-3qgh,Medium,1,CVE-2017-1000395,0
jenkins:2.60.3,GHSA-wmr8-25ff-ggpj,Medium,1,CVE-2018-1999004,0
jenkins:2.60.3,GHSA-w7jr-wqw6-54xc,Medium,1,CVE-2020-2101,0
jenkins:2.60.3,GHSA-w2hv-rcqr-2h7r,Medium,1,CVE-2021-21640,0
jenkins:2.60.3,GHSA-vpjm-58cw-r8q5,Medium,1,CVE-2021-21602,0
jenkins:2.60.3,GHSA-rr6r-p7rw-369c,Medium,1,CVE-2018-1000409,0
jenkins:2.60.3,GHSA-rgmj-mccj-h9mx,Medium,1,CVE-2018-1000195,0
